title,icon,time,compatible,evaluate,discount,original_price,now_price,detailLink
Jupiter Hell,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/811320/capsule_sm_120.jpg?t=1722965240,"Aug 5, 2021","[""win"", ""mac"", ""linux""]",Positive,30,24.99,7.49,https://store.steampowered.com/app/811320/Jupiter_Hell/?snr=1_7_7_2300_150_2
Soulstone Survivors,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2066020/capsule_sm_120.jpg?t=1722896620,"Nov 7, 2022","[""win"", ""mac"", ""linux""]",Positive,65,9.99,6.49,https://store.steampowered.com/app/2066020/Soulstone_Survivors/?snr=1_7_7_2300_150_2
A Way Out,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1222700/capsule_sm_120.jpg?t=1718278523,"Jun 18, 2020","[""win""]",Positive,20,29.99,5.99,https://store.steampowered.com/app/1222700/A_Way_Out/?snr=1_7_7_2300_150_2
F1® 24,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2488620/capsule_sm_120.jpg?t=1722451020,"May 31, 2024","[""win""]",Mixed,60,89.99,53.99,https://store.steampowered.com/app/2488620/F1_24/?snr=1_7_7_2300_150_2
Dragon Age™ Inquisition,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1222690/capsule_sm_120.jpg?t=1668811031,"Jun 4, 2020","[""win""]",Positive,10,39.99,3.99,https://store.steampowered.com/app/1222690/Dragon_Age_Inquisition/?snr=1_7_7_2300_150_2
Call of Duty®: Infinite Warfare,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/292730/capsule_sm_120.jpg?t=1646764561,"Nov 3, 2016","[""win""]",Mixed,33,59.99,19.79,https://store.steampowered.com/app/292730/Call_of_Duty_Infinite_Warfare/?snr=1_7_7_2300_150_2
"Warhammer 40,000: Space Marine - Anniversary Edition",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/55150/capsule_sm_120.jpg?t=1653590231,"Sep 5, 2011","[""win""]",Positive,30,59.99,17.99,https://store.steampowered.com/app/55150/Warhammer_40000_Space_Marine__Anniversary_Edition/?snr=1_7_7_2300_150_3
Taxi Life: A City Driving Simulator,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1351240/capsule_sm_120.jpg?t=1722245082,"Mar 7, 2024","[""win""]",Mixed,65,29.99,19.49,https://store.steampowered.com/app/1351240/Taxi_Life_A_City_Driving_Simulator/?snr=1_7_7_2300_150_3
Need for Speed™ Unbound,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1846380/capsule_sm_120.jpg?t=1722635949,"Dec 1, 2022","[""win""]",Mixed,10,69.99,6.99,https://store.steampowered.com/app/1846380/Need_for_Speed_Unbound/?snr=1_7_7_2300_150_3
Atlas Fallen: Reign Of Sand,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1230530/capsule_sm_120.jpg?t=1722960923,"Aug 9, 2023","[""win""]",Mixed,50,39.99,19.99,https://store.steampowered.com/app/1230530/Atlas_Fallen_Reign_Of_Sand/?snr=1_7_7_2300_150_3
ONE PIECE World Seeker,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/755500/capsule_sm_120.jpg?t=1701311545,"Mar 14, 2019","[""win""]",Positive,10,59.99,5.99,https://store.steampowered.com/app/755500/ONE_PIECE_World_Seeker/?snr=1_7_7_2300_150_3
This Bed We Made,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1243850/capsule_sm_120.jpg?t=1715700544,"Nov 1, 2023","[""win""]",Positive,65,24.99,16.24,https://store.steampowered.com/app/1243850/This_Bed_We_Made/?snr=1_7_7_2300_150_3
Call of Duty®: Modern Warfare® 3 (2011),https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/115300/capsule_sm_120.jpg?t=1692032509,"Nov 8, 2011","[""win""]",Positive,50,39.99,19.99,https://store.steampowered.com/app/115300/Call_of_Duty_Modern_Warfare_3_2011/?snr=1_7_7_2300_150_3
